30906245,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906245,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906245
30906246,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906246,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906246
30906247,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906247,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906247
30906248,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906248,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906248
30906249,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906249,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906249
30906250,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906250,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906250
30906251,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906251,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906251
30906252,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906252,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906252
30906253,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906253,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906253
30906254,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906254,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906254
30906255,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906255,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906255
30906256,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906256,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906256
30906257,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906257,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906257
30906258,TITLE: Heidelberg Repatriation Hospital - pathology and operating suites [construction] CATEGORY: Photograph FORMAT: b&w negative STATUS: Preservation material,1974,VIC,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IM2&S=1&Number=30906258,http://recordsearch.naa.gov.au/scripts/autosearch.asp?O=IMS2&S=1&Number=30906258
